date 00:00-03:00 03:00-06:00 06:00-09:00 09:00-12:00 12:00-15:00 15:00-18:00 18:00-21:00 21:00-24:00
2021-06-01 1.0 0.3 0.3 0.0 0.3 0.0 0.3 0.3
2021-06-02 0.0 0.7 0.0 0.3 3.0 1.7 1.3 1.3
2021-06-03 2.0 1.7 2.7 1.7 1.0 1.3 0.7 0.0
2021-06-04 1.0 1.3 0.7 1.0 1.0 0.7 1.3 1.0
2021-06-05 0.3 0.7 0.7 0.7 1.3 0.3 1.3 1.7
2021-06-06 2.3 1.3 0.7 0.3 0.0 0.7 1.0 1.7
2021-06-07 0.7 1.7 2.3 2.0 2.7 2.7 3.3 3.7
2021-06-08 2.0 2.0 1.7 0.7 0 0 0 0
