timestamp Horiz_jan
"2021-04-09 00:00:00" 11073.2
"2021-04-09 00:00:10" 11073.7
"2021-04-09 00:00:20" 11073.7
"2021-04-09 00:00:30" 11073.7
"2021-04-09 00:00:40" 11074.2
"2021-04-09 00:00:50" 11074.4
"2021-04-09 00:01:00" 11074.2
"2021-04-09 00:01:10" 11074.4
"2021-04-09 00:01:20" 11074.2
"2021-04-09 00:01:30" 11074.2
"2021-04-09 00:01:40" 11074.2
"2021-04-09 00:01:50" 11074.2
"2021-04-09 00:02:00" 11074.2
"2021-04-09 00:02:10" 11074.0
"2021-04-09 00:02:20" 11074.2
"2021-04-09 00:02:30" 11074.2
"2021-04-09 00:02:40" 11073.9
"2021-04-09 00:02:50" 11073.7
"2021-04-09 00:03:00" 11073.5
"2021-04-09 00:03:10" 11073.7
"2021-04-09 00:03:20" 11073.5
"2021-04-09 00:03:30" 11073.7
"2021-04-09 00:03:40" 11073.9
"2021-04-09 00:03:50" 11073.9
"2021-04-09 00:04:00" 11073.9
"2021-04-09 00:04:10" 11073.9
"2021-04-09 00:04:20" 11073.9
"2021-04-09 00:04:30" 11073.9
"2021-04-09 00:04:40" 11073.7
"2021-04-09 00:04:50" 11073.2
"2021-04-09 00:05:00" 11073.2
"2021-04-09 00:05:10" 11073.0
"2021-04-09 00:05:20" 11072.5
"2021-04-09 00:05:30" 11072.2
"2021-04-09 00:05:40" 11071.7
"2021-04-09 00:05:50" 11071.7
"2021-04-09 00:06:00" 11071.7
"2021-04-09 00:06:10" 11072.0
"2021-04-09 00:06:20" 11072.0
"2021-04-09 00:06:30" 11072.0
"2021-04-09 00:06:40" 11072.2
"2021-04-09 00:06:50" 11072.5
"2021-04-09 00:07:00" 11072.2
"2021-04-09 00:07:10" 11072.5
"2021-04-09 00:07:20" 11072.7
"2021-04-09 00:07:30" 11072.7
"2021-04-09 00:07:40" 11072.5
"2021-04-09 00:07:50" 11072.5
"2021-04-09 00:08:00" 11072.5
"2021-04-09 00:08:10" 11072.8
"2021-04-09 00:08:20" 11073.0
"2021-04-09 00:08:30" 11073.0
"2021-04-09 00:08:40" 11073.3
"2021-04-09 00:08:50" 11073.5
