timestamp Horiz_and
"2021-03-15 00:01:00" 10904.3
"2021-03-15 00:02:00" 10915.1
"2021-03-15 00:03:00" 10922.2
"2021-03-15 00:04:00" 10925.7
"2021-03-15 00:05:00" 10931.1
"2021-03-15 00:06:00" 10934.6
"2021-03-15 00:07:00" 10938.4
"2021-03-15 00:08:00" 10938.3
"2021-03-15 00:09:00" 10936.8
"2021-03-15 00:10:00" 10933.0
"2021-03-15 00:11:00" 10929.3
"2021-03-15 00:12:00" 10928.9
"2021-03-15 00:13:00" 10932.2
"2021-03-15 00:14:00" 10937.2
"2021-03-15 00:15:00" 10940.7
"2021-03-15 00:16:00" 10939.5
"2021-03-15 00:17:00" 10936.1
"2021-03-15 00:18:00" 10930.0
"2021-03-15 00:19:00" 10922.6
"2021-03-15 00:20:00" 10913.5
"2021-03-15 00:21:00" 10906.0
"2021-03-15 00:22:00" 10893.1
"2021-03-15 00:23:00" 10889.2
"2021-03-15 00:24:00" 10899.4
"2021-03-15 00:25:00" 10912.7
"2021-03-15 00:26:00" 10919.2
"2021-03-15 00:27:00" 10916.8
"2021-03-15 00:28:00" 10919.1
"2021-03-15 00:29:00" 10917.9
"2021-03-15 00:30:00" 10907.0
"2021-03-15 00:31:00" 10892.8
"2021-03-15 00:32:00" 10881.9
"2021-03-15 00:33:00" 10872.6
"2021-03-15 00:34:00" 10867.0
"2021-03-15 00:35:00" 10878.7
"2021-03-15 00:36:00" 10893.0
"2021-03-15 00:37:00" 10880.8
"2021-03-15 00:38:00" 10854.4
"2021-03-15 00:39:00" 10848.5
"2021-03-15 00:40:00" 10860.9
"2021-03-15 00:41:00" 10867.6
"2021-03-15 00:42:00" 10853.0
"2021-03-15 00:43:00" 10840.5
"2021-03-15 00:44:00" 10841.2
"2021-03-15 00:45:00" 10853.7
"2021-03-15 00:46:00" 10865.7
"2021-03-15 00:47:00" 10867.1
"2021-03-15 00:48:00" 10863.1
"2021-03-15 00:49:00" 10860.2
"2021-03-15 00:50:00" 10860.0
"2021-03-15 00:51:00" 10861.5
"2021-03-15 00:52:00" 10857.8
"2021-03-15 00:53:00" 10852.2
"2021-03-15 00:54:00" 10844.1
"2021-03-15 00:55:00" 10840.0
"2021-03-15 00:56:00" 10834.2
"2021-03-15 00:57:00" 10829.1
"2021-03-15 00:58:00" 10826.2
"2021-03-15 00:59:00" 10817.4
"2021-03-15 01:00:00" 10808.8
"2021-03-15 01:01:00" 10805.5
"2021-03-15 01:02:00" 10802.2
"2021-03-15 01:03:00" 10802.0
"2021-03-15 01:04:00" 10802.1
"2021-03-15 01:05:00" 10809.4
"2021-03-15 01:06:00" 10818.5
"2021-03-15 01:07:00" 10825.2
"2021-03-15 01:08:00" 10832.1
"2021-03-15 01:09:00" 10841.9
"2021-03-15 01:10:00" 10844.4
"2021-03-15 01:11:00" 10841.9
"2021-03-15 01:12:00" 10847.7
"2021-03-15 01:13:00" 10853.2
"2021-03-15 01:14:00" 10853.3
"2021-03-15 01:15:00" 10852.6
"2021-03-15 01:16:00" 10854.3
"2021-03-15 01:17:00" 10847.3
"2021-03-15 01:18:00" 10843.7
"2021-03-15 01:19:00" 10842.1
"2021-03-15 01:20:00" 10837.6
"2021-03-15 01:21:00" 10844.1
"2021-03-15 01:22:00" 10850.1
"2021-03-15 01:23:00" 10860.3
"2021-03-15 01:24:00" 10874.6
"2021-03-15 01:25:00" 10887.1
"2021-03-15 01:26:00" 10888.9
"2021-03-15 01:27:00" 10893.5
"2021-03-15 01:28:00" 10897.2
"2021-03-15 01:29:00" 10896.4
"2021-03-15 01:30:00" 10894.0
"2021-03-15 01:31:00" 10894.5
"2021-03-15 01:32:00" 10897.2
"2021-03-15 01:33:00" 10904.2
"2021-03-15 01:34:00" 10910.8
"2021-03-15 01:35:00" 10917.6
"2021-03-15 01:36:00" 10922.1
"2021-03-15 01:37:00" 10922.1
"2021-03-15 01:38:00" 10915.8
"2021-03-15 01:39:00" 10912.6
"2021-03-15 01:40:00" 10911.5
"2021-03-15 01:41:00" 10911.9
"2021-03-15 01:42:00" 10908.5
"2021-03-15 01:43:00" 10905.3
"2021-03-15 01:44:00" 10907.2
"2021-03-15 01:45:00" 10912.8
"2021-03-15 01:46:00" 10916.5
"2021-03-15 01:47:00" 10922.4
"2021-03-15 01:48:00" 10926.1
"2021-03-15 01:49:00" 10928.3
"2021-03-15 01:50:00" 10925.9
"2021-03-15 01:51:00" 10919.6
"2021-03-15 01:52:00" 10914.8
"2021-03-15 01:53:00" 10915.5
"2021-03-15 01:54:00" 10904.5
"2021-03-15 01:55:00" 10895.2
"2021-03-15 01:56:00" 10886.8
"2021-03-15 01:57:00" 10884.9
"2021-03-15 01:58:00" 10885.3
"2021-03-15 01:59:00" 10879.7
"2021-03-15 02:00:00" 10875.4
"2021-03-15 02:01:00" 10875.4
"2021-03-15 02:02:00" 10873.1
"2021-03-15 02:03:00" 10874.5
"2021-03-15 02:04:00" 10882.4
"2021-03-15 02:05:00" 10901.2
"2021-03-15 02:06:00" 10905.7
"2021-03-15 02:07:00" 10907.1
"2021-03-15 02:08:00" 10911.5
"2021-03-15 02:09:00" 10915.1
"2021-03-15 02:10:00" 10922.8
"2021-03-15 02:11:00" 10918.5
"2021-03-15 02:12:00" 10915.7
"2021-03-15 02:13:00" 10925.6
"2021-03-15 02:14:00" 10928.8
"2021-03-15 02:15:00" 10928.6
"2021-03-15 02:16:00" 10933.6
"2021-03-15 02:17:00" 10930.0
"2021-03-15 02:18:00" 10928.2
"2021-03-15 02:19:00" 10931.2
"2021-03-15 02:20:00" 10939.4
"2021-03-15 02:21:00" 10946.9
"2021-03-15 02:22:00" 10944.5
"2021-03-15 02:23:00" 10924.6
"2021-03-15 02:24:00" 10902.7
"2021-03-15 02:25:00" 10893.0
"2021-03-15 02:26:00" 10895.1
"2021-03-15 02:27:00" 10896.5
"2021-03-15 02:28:00" 10889.9
"2021-03-15 02:29:00" 10885.1
"2021-03-15 02:30:00" 10882.8
"2021-03-15 02:31:00" 10882.6
"2021-03-15 02:32:00" 10883.3
"2021-03-15 02:33:00" 10888.8
"2021-03-15 02:34:00" 10891.2
"2021-03-15 02:35:00" 10894.5
"2021-03-15 02:36:00" 10893.5
"2021-03-15 02:37:00" 10891.6
"2021-03-15 02:38:00" 10887.7
"2021-03-15 02:39:00" 10882.5
"2021-03-15 02:40:00" 10883.5
"2021-03-15 02:41:00" 10892.3
"2021-03-15 02:42:00" 10898.9
"2021-03-15 02:43:00" 10911.7
"2021-03-15 02:44:00" 10925.3
