timestamp Horiz_mas
"2021-03-15 00:01:00" 10734.9
"2021-03-15 00:02:00" 10744.8
"2021-03-15 00:03:00" 10754.0
"2021-03-15 00:04:00" 10760.1
"2021-03-15 00:05:00" 10766.5
"2021-03-15 00:06:00" 10769.4
"2021-03-15 00:07:00" 10773.0
"2021-03-15 00:08:00" 10774.6
"2021-03-15 00:09:00" 10774.8
"2021-03-15 00:10:00" 10772.0
"2021-03-15 00:11:00" 10771.0
"2021-03-15 00:12:00" 10773.4
"2021-03-15 00:13:00" 10779.9
"2021-03-15 00:14:00" 10788.8
"2021-03-15 00:15:00" 10792.9
"2021-03-15 00:16:00" 10789.3
"2021-03-15 00:17:00" 10784.1
"2021-03-15 00:18:00" 10780.1
"2021-03-15 00:19:00" 10773.9
"2021-03-15 00:20:00" 10765.3
"2021-03-15 00:21:00" 10758.6
"2021-03-15 00:22:00" 10742.7
"2021-03-15 00:23:00" 10736.1
"2021-03-15 00:24:00" 10741.6
"2021-03-15 00:25:00" 10748.3
"2021-03-15 00:26:00" 10752.1
"2021-03-15 00:27:00" 10746.1
"2021-03-15 00:28:00" 10748.8
"2021-03-15 00:29:00" 10752.7
"2021-03-15 00:30:00" 10748.2
"2021-03-15 00:31:00" 10736.3
"2021-03-15 00:32:00" 10720.9
"2021-03-15 00:33:00" 10714.8
"2021-03-15 00:34:00" 10724.2
"2021-03-15 00:35:00" 10742.2
"2021-03-15 00:36:00" 10730.7
"2021-03-15 00:37:00" 10706.9
"2021-03-15 00:38:00" 10704.3
"2021-03-15 00:39:00" 10722.1
"2021-03-15 00:40:00" 10723.7
"2021-03-15 00:41:00" 10702.2
"2021-03-15 00:42:00" 10691.2
"2021-03-15 00:43:00" 10696.4
"2021-03-15 00:44:00" 10709.9
"2021-03-15 00:45:00" 10714.0
"2021-03-15 00:46:00" 10714.3
"2021-03-15 00:47:00" 10714.8
"2021-03-15 00:48:00" 10708.6
"2021-03-15 00:49:00" 10709.7
"2021-03-15 00:50:00" 10713.4
"2021-03-15 00:51:00" 10715.0
"2021-03-15 00:52:00" 10710.1
"2021-03-15 00:53:00" 10701.1
"2021-03-15 00:54:00" 10694.0
"2021-03-15 00:55:00" 10691.6
"2021-03-15 00:56:00" 10689.4
"2021-03-15 00:57:00" 10686.6
"2021-03-15 00:58:00" 10682.7
"2021-03-15 00:59:00" 10673.8
"2021-03-15 01:00:00" 10665.1
"2021-03-15 01:01:00" 10661.8
"2021-03-15 01:02:00" 10656.7
"2021-03-15 01:03:00" 10657.6
"2021-03-15 01:04:00" 10656.3
"2021-03-15 01:05:00" 10660.8
"2021-03-15 01:06:00" 10667.6
"2021-03-15 01:07:00" 10669.2
"2021-03-15 01:08:00" 10675.9
"2021-03-15 01:09:00" 10684.1
"2021-03-15 01:10:00" 10685.8
"2021-03-15 01:11:00" 10684.6
"2021-03-15 01:12:00" 10692.2
"2021-03-15 01:13:00" 10696.6
"2021-03-15 01:14:00" 10699.1
"2021-03-15 01:15:00" 10701.0
"2021-03-15 01:16:00" 10702.5
"2021-03-15 01:17:00" 10697.7
"2021-03-15 01:18:00" 10699.3
"2021-03-15 01:19:00" 10699.5
"2021-03-15 01:20:00" 10700.0
"2021-03-15 01:21:00" 10701.6
"2021-03-15 01:22:00" 10704.5
"2021-03-15 01:23:00" 10715.1
"2021-03-15 01:24:00" 10727.7
"2021-03-15 01:25:00" 10734.5
"2021-03-15 01:26:00" 10734.5
"2021-03-15 01:27:00" 10738.1
"2021-03-15 01:28:00" 10741.5
"2021-03-15 01:29:00" 10742.1
"2021-03-15 01:30:00" 10740.1
"2021-03-15 01:31:00" 10740.2
"2021-03-15 01:32:00" 10744.2
"2021-03-15 01:33:00" 10751.0
"2021-03-15 01:34:00" 10753.9
"2021-03-15 01:35:00" 10760.7
"2021-03-15 01:36:00" 10763.6
"2021-03-15 01:37:00" 10762.9
"2021-03-15 01:38:00" 10756.9
"2021-03-15 01:39:00" 10759.0
"2021-03-15 01:40:00" 10760.4
"2021-03-15 01:41:00" 10755.6
"2021-03-15 01:42:00" 10749.2
"2021-03-15 01:43:00" 10747.3
"2021-03-15 01:44:00" 10754.5
"2021-03-15 01:45:00" 10763.8
"2021-03-15 01:46:00" 10766.5
"2021-03-15 01:47:00" 10768.0
"2021-03-15 01:48:00" 10765.9
"2021-03-15 01:49:00" 10763.2
"2021-03-15 01:50:00" 10759.3
"2021-03-15 01:51:00" 10756.5
"2021-03-15 01:52:00" 10755.7
"2021-03-15 01:53:00" 10757.8
"2021-03-15 01:54:00" 10747.3
"2021-03-15 01:55:00" 10739.7
"2021-03-15 01:56:00" 10733.3
"2021-03-15 01:57:00" 10730.5
"2021-03-15 01:58:00" 10728.5
"2021-03-15 01:59:00" 10725.7
"2021-03-15 02:00:00" 10726.2
"2021-03-15 02:01:00" 10727.5
"2021-03-15 02:02:00" 10722.4
"2021-03-15 02:03:00" 10721.4
"2021-03-15 02:04:00" 10728.7
"2021-03-15 02:05:00" 10741.6
"2021-03-15 02:06:00" 10740.4
"2021-03-15 02:07:00" 10745.2
"2021-03-15 02:08:00" 10740.3
"2021-03-15 02:09:00" 10738.0
"2021-03-15 02:10:00" 10751.9
"2021-03-15 02:11:00" 10749.2
"2021-03-15 02:12:00" 10749.2
"2021-03-15 02:13:00" 10763.2
"2021-03-15 02:14:00" 10766.1
"2021-03-15 02:15:00" 10768.5
"2021-03-15 02:16:00" 10779.2
"2021-03-15 02:17:00" 10780.8
"2021-03-15 02:18:00" 10780.7
"2021-03-15 02:19:00" 10779.1
"2021-03-15 02:20:00" 10780.1
"2021-03-15 02:21:00" 10780.9
"2021-03-15 02:22:00" 10777.1
"2021-03-15 02:23:00" 10760.6
"2021-03-15 02:24:00" 10744.9
"2021-03-15 02:25:00" 10738.3
"2021-03-15 02:26:00" 10740.1
"2021-03-15 02:27:00" 10738.8
"2021-03-15 02:28:00" 10737.9
"2021-03-15 02:29:00" 10736.4
"2021-03-15 02:30:00" 10733.7
"2021-03-15 02:31:00" 10732.3
"2021-03-15 02:32:00" 10733.5
"2021-03-15 02:33:00" 10737.8
"2021-03-15 02:34:00" 10738.5
