timestamp Horiz_tro
"2021-03-15 00:01:00" 10779.2
"2021-03-15 00:02:00" 10789.9
"2021-03-15 00:03:00" 10800.7
"2021-03-15 00:04:00" 10809.7
"2021-03-15 00:05:00" 10818.5
"2021-03-15 00:06:00" 10821.2
"2021-03-15 00:07:00" 10822.9
"2021-03-15 00:08:00" 10821.4
"2021-03-15 00:09:00" 10822.4
"2021-03-15 00:10:00" 10820.0
"2021-03-15 00:11:00" 10816.4
"2021-03-15 00:12:00" 10816.7
"2021-03-15 00:13:00" 10818.9
"2021-03-15 00:14:00" 10824.9
"2021-03-15 00:15:00" 10829.7
"2021-03-15 00:16:00" 10829.4
"2021-03-15 00:17:00" 10826.7
"2021-03-15 00:18:00" 10820.6
"2021-03-15 00:19:00" 10812.4
"2021-03-15 00:20:00" 10801.5
"2021-03-15 00:21:00" 10793.0
"2021-03-15 00:22:00" 10779.7
"2021-03-15 00:23:00" 10775.3
"2021-03-15 00:24:00" 10784.8
"2021-03-15 00:25:00" 10795.5
"2021-03-15 00:26:00" 10801.6
"2021-03-15 00:27:00" 10796.4
"2021-03-15 00:28:00" 10798.0
"2021-03-15 00:29:00" 10796.5
"2021-03-15 00:30:00" 10785.8
"2021-03-15 00:31:00" 10771.2
"2021-03-15 00:32:00" 10758.8
"2021-03-15 00:33:00" 10746.8
"2021-03-15 00:34:00" 10743.2
"2021-03-15 00:35:00" 10760.0
"2021-03-15 00:36:00" 10774.3
"2021-03-15 00:37:00" 10755.1
"2021-03-15 00:38:00" 10727.9
"2021-03-15 00:39:00" 10728.1
"2021-03-15 00:40:00" 10747.6
"2021-03-15 00:41:00" 10751.9
"2021-03-15 00:42:00" 10731.6
"2021-03-15 00:43:00" 10719.2
"2021-03-15 00:44:00" 10723.8
"2021-03-15 00:45:00" 10740.2
"2021-03-15 00:46:00" 10749.4
"2021-03-15 00:47:00" 10752.4
"2021-03-15 00:48:00" 10747.3
"2021-03-15 00:49:00" 10743.9
"2021-03-15 00:50:00" 10743.1
"2021-03-15 00:51:00" 10748.6
"2021-03-15 00:52:00" 10744.9
"2021-03-15 00:53:00" 10737.1
"2021-03-15 00:54:00" 10728.2
"2021-03-15 00:55:00" 10723.9
"2021-03-15 00:56:00" 10718.0
"2021-03-15 00:57:00" 10714.8
"2021-03-15 00:58:00" 10712.4
"2021-03-15 00:59:00" 10702.4
"2021-03-15 01:00:00" 10694.0
"2021-03-15 01:01:00" 10689.4
"2021-03-15 01:02:00" 10687.5
"2021-03-15 01:03:00" 10686.6
"2021-03-15 01:04:00" 10687.7
"2021-03-15 01:05:00" 10693.1
"2021-03-15 01:06:00" 10703.3
"2021-03-15 01:07:00" 10707.2
"2021-03-15 01:08:00" 10713.6
"2021-03-15 01:09:00" 10722.8
"2021-03-15 01:10:00" 10725.1
"2021-03-15 01:11:00" 10722.3
"2021-03-15 01:12:00" 10728.3
"2021-03-15 01:13:00" 10733.1
"2021-03-15 01:14:00" 10733.1
"2021-03-15 01:15:00" 10732.3
"2021-03-15 01:16:00" 10733.9
"2021-03-15 01:17:00" 10728.1
"2021-03-15 01:18:00" 10726.5
