timestamp Horiz_sor
"2021-03-15 00:01:00" 10242.8
"2021-03-15 00:02:00" 10255.9
"2021-03-15 00:03:00" 10266.9
"2021-03-15 00:04:00" 10273.7
"2021-03-15 00:05:00" 10279.9
"2021-03-15 00:06:00" 10283.1
"2021-03-15 00:07:00" 10286.4
"2021-03-15 00:08:00" 10291.2
"2021-03-15 00:09:00" 10295.6
"2021-03-15 00:10:00" 10292.3
"2021-03-15 00:11:00" 10288.9
"2021-03-15 00:12:00" 10286.2
"2021-03-15 00:13:00" 10283.9
"2021-03-15 00:14:00" 10285.7
"2021-03-15 00:15:00" 10290.6
"2021-03-15 00:16:00" 10293.0
"2021-03-15 00:17:00" 10293.3
"2021-03-15 00:18:00" 10289.8
"2021-03-15 00:19:00" 10282.0
"2021-03-15 00:20:00" 10270.5
"2021-03-15 00:21:00" 10259.8
"2021-03-15 00:22:00" 10246.7
"2021-03-15 00:23:00" 10240.8
"2021-03-15 00:24:00" 10244.7
"2021-03-15 00:25:00" 10251.6
"2021-03-15 00:26:00" 10257.0
"2021-03-15 00:27:00" 10254.2
"2021-03-15 00:28:00" 10253.9
"2021-03-15 00:29:00" 10253.4
"2021-03-15 00:30:00" 10243.1
"2021-03-15 00:31:00" 10229.0
"2021-03-15 00:32:00" 10214.6
"2021-03-15 00:33:00" 10207.4
"2021-03-15 00:34:00" 10204.8
"2021-03-15 00:35:00" 10212.8
"2021-03-15 00:36:00" 10223.0
"2021-03-15 00:37:00" 10217.9
"2021-03-15 00:38:00" 10195.8
"2021-03-15 00:39:00" 10189.7
"2021-03-15 00:40:00" 10199.2
"2021-03-15 00:41:00" 10207.1
"2021-03-15 00:42:00" 10203.9
"2021-03-15 00:43:00" 10190.8
"2021-03-15 00:44:00" 10185.7
"2021-03-15 00:45:00" 10195.0
"2021-03-15 00:46:00" 10211.2
"2021-03-15 00:47:00" 10216.1
"2021-03-15 00:48:00" 10212.6
"2021-03-15 00:49:00" 10208.7
"2021-03-15 00:50:00" 10208.7
"2021-03-15 00:51:00" 10212.2
"2021-03-15 00:52:00" 10211.4
"2021-03-15 00:53:00" 10206.4
"2021-03-15 00:54:00" 10200.5
"2021-03-15 00:55:00" 10195.4
"2021-03-15 00:56:00" 10190.5
"2021-03-15 00:57:00" 10187.0
"2021-03-15 00:58:00" 10186.1
"2021-03-15 00:59:00" 10181.1
"2021-03-15 01:00:00" 10174.0
"2021-03-15 01:01:00" 10169.2
"2021-03-15 01:02:00" 10165.1
"2021-03-15 01:03:00" 10164.9
"2021-03-15 01:04:00" 10162.8
"2021-03-15 01:05:00" 10168.2
"2021-03-15 01:06:00" 10171.5
"2021-03-15 01:07:00" 10176.7
"2021-03-15 01:08:00" 10182.7
"2021-03-15 01:09:00" 10190.6
"2021-03-15 01:10:00" 10195.8
"2021-03-15 01:11:00" 10196.2
"2021-03-15 01:12:00" 10200.8
"2021-03-15 01:13:00" 10202.1
"2021-03-15 01:14:00" 10200.1
"2021-03-15 01:15:00" 10197.8
"2021-03-15 01:16:00" 10197.7
"2021-03-15 01:17:00" 10194.3
"2021-03-15 01:18:00" 10193.8
"2021-03-15 01:19:00" 10191.9
"2021-03-15 01:20:00" 10190.5
"2021-03-15 01:21:00" 10196.4
"2021-03-15 01:22:00" 10202.8
"2021-03-15 01:23:00" 10212.2
"2021-03-15 01:24:00" 10225.4
"2021-03-15 01:25:00" 10237.2
"2021-03-15 01:26:00" 10242.4
"2021-03-15 01:27:00" 10248.2
"2021-03-15 01:28:00" 10250.8
"2021-03-15 01:29:00" 10249.1
"2021-03-15 01:30:00" 10243.7
"2021-03-15 01:31:00" 10240.5
"2021-03-15 01:32:00" 10240.8
"2021-03-15 01:33:00" 10245.1
"2021-03-15 01:34:00" 10249.3
"2021-03-15 01:35:00" 10258.6
"2021-03-15 01:36:00" 10267.0
"2021-03-15 01:37:00" 10269.7
"2021-03-15 01:38:00" 10266.0
"2021-03-15 01:39:00" 10263.3
"2021-03-15 01:40:00" 10263.1
"2021-03-15 01:41:00" 10264.3
"2021-03-15 01:42:00" 10265.9
"2021-03-15 01:43:00" 10264.9
"2021-03-15 01:44:00" 10263.3
"2021-03-15 01:45:00" 10263.3
"2021-03-15 01:46:00" 10262.9
"2021-03-15 01:47:00" 10268.2
"2021-03-15 01:48:00" 10271.0
"2021-03-15 01:49:00" 10273.7
"2021-03-15 01:50:00" 10272.6
"2021-03-15 01:51:00" 10269.2
"2021-03-15 01:52:00" 10264.8
"2021-03-15 01:53:00" 10264.9
"2021-03-15 01:54:00" 10258.5
"2021-03-15 01:55:00" 10253.2
"2021-03-15 01:56:00" 10247.4
"2021-03-15 01:57:00" 10243.8
"2021-03-15 01:58:00" 10242.6
"2021-03-15 01:59:00" 10236.3
"2021-03-15 02:00:00" 10233.3
"2021-03-15 02:01:00" 10234.0
"2021-03-15 02:02:00" 10229.5
"2021-03-15 02:03:00" 10231.6
"2021-03-15 02:04:00" 10239.2
"2021-03-15 02:05:00" 10251.4
"2021-03-15 02:06:00" 10255.1
"2021-03-15 02:07:00" 10254.7
"2021-03-15 02:08:00" 10265.1
"2021-03-15 02:09:00" 10274.4
"2021-03-15 02:10:00" 10276.9
"2021-03-15 02:11:00" 10273.9
"2021-03-15 02:12:00" 10269.7
"2021-03-15 02:13:00" 10275.4
"2021-03-15 02:14:00" 10277.6
"2021-03-15 02:15:00" 10274.6
"2021-03-15 02:16:00" 10277.5
"2021-03-15 02:17:00" 10280.6
"2021-03-15 02:18:00" 10280.5
"2021-03-15 02:19:00" 10276.3
"2021-03-15 02:20:00" 10278.0
"2021-03-15 02:21:00" 10283.9
"2021-03-15 02:22:00" 10283.0
"2021-03-15 02:23:00" 10271.8
"2021-03-15 02:24:00" 10264.2
"2021-03-15 02:25:00" 10261.8
"2021-03-15 02:26:00" 10262.8
"2021-03-15 02:27:00" 10262.3
"2021-03-15 02:28:00" 10258.0
