timestamp Horiz_jck
"2021-04-09 00:00:00" 12327.5
"2021-04-09 00:00:10" 12327.4
"2021-04-09 00:00:20" 12327.4
"2021-04-09 00:00:30" 12327.3
"2021-04-09 00:00:40" 12327.3
"2021-04-09 00:00:50" 12327.6
"2021-04-09 00:01:00" 12327.4
"2021-04-09 00:01:10" 12327.5
"2021-04-09 00:01:20" 12327.6
"2021-04-09 00:01:30" 12327.5
"2021-04-09 00:01:40" 12327.5
"2021-04-09 00:01:50" 12327.2
"2021-04-09 00:02:00" 12327.2
"2021-04-09 00:02:10" 12327.2
"2021-04-09 00:02:20" 12327.1
"2021-04-09 00:02:30" 12327.1
"2021-04-09 00:02:40" 12327.0
"2021-04-09 00:02:50" 12327.1
"2021-04-09 00:03:00" 12327.0
"2021-04-09 00:03:10" 12327.1
"2021-04-09 00:03:20" 12326.8
"2021-04-09 00:03:30" 12326.9
"2021-04-09 00:03:40" 12326.7
"2021-04-09 00:03:50" 12326.9
"2021-04-09 00:04:00" 12326.8
"2021-04-09 00:04:10" 12326.8
"2021-04-09 00:04:20" 12326.6
"2021-04-09 00:04:30" 12326.6
"2021-04-09 00:04:40" 12326.6
"2021-04-09 00:04:50" 12326.6
"2021-04-09 00:05:00" 12326.6
"2021-04-09 00:05:10" 12326.3
"2021-04-09 00:05:20" 12326.5
"2021-04-09 00:05:30" 12326.6
"2021-04-09 00:05:40" 12326.5
"2021-04-09 00:05:50" 12326.8
"2021-04-09 00:06:00" 12326.7
"2021-04-09 00:06:10" 12326.6
"2021-04-09 00:06:20" 12326.3
"2021-04-09 00:06:30" 12326.3
"2021-04-09 00:06:40" 12326.6
"2021-04-09 00:06:50" 12326.6
"2021-04-09 00:07:00" 12326.9
"2021-04-09 00:07:10" 12326.8
"2021-04-09 00:07:20" 12326.7
"2021-04-09 00:07:30" 12326.8
"2021-04-09 00:07:40" 12326.6
"2021-04-09 00:07:50" 12326.8
"2021-04-09 00:08:00" 12326.9
