timestamp Horiz_don
"2021-03-15 00:03:00" 12527.9
"2021-03-15 00:04:00" 12526.5
"2021-03-15 00:05:00" 12526.7
"2021-03-15 00:06:00" 12525.0
"2021-03-15 00:07:00" 12523.7
"2021-03-15 00:08:00" 12523.6
"2021-03-15 00:09:00" 12525.8
"2021-03-15 00:12:00" 12522.4
"2021-03-15 00:13:00" 12522.9
"2021-03-15 00:14:00" 12525.4
"2021-03-15 00:15:00" 12527.7
"2021-03-15 00:16:00" 12527.3
"2021-03-15 00:17:00" 12527.6
"2021-03-15 00:18:00" 12526.3
"2021-03-15 00:19:00" 12523.9
"2021-03-15 00:20:00" 12519.7
"2021-03-15 00:21:00" 12515.2
"2021-03-15 00:22:00" 12509.2
"2021-03-15 00:23:00" 12510.2
"2021-03-15 00:24:00" 12518.4
"2021-03-15 00:25:00" 12522.3
"2021-03-15 00:26:00" 12521.1
"2021-03-15 00:27:00" 12518.8
"2021-03-15 00:28:00" 12518.5
"2021-03-15 00:29:00" 12521.9
"2021-03-15 00:30:00" 12518.1
"2021-03-15 00:31:00" 12514.3
"2021-03-15 00:32:00" 12513.0
"2021-03-15 00:33:00" 12513.6
"2021-03-15 00:34:00" 12515.3
"2021-03-15 00:35:00" 12517.3
"2021-03-15 00:36:00" 12518.1
"2021-03-15 00:37:00" 12513.2
"2021-03-15 00:38:00" 12507.7
"2021-03-15 00:39:00" 12506.0
"2021-03-15 00:40:00" 12510.4
"2021-03-15 00:41:00" 12509.9
"2021-03-15 00:42:00" 12504.6
"2021-03-15 00:43:00" 12503.8
"2021-03-15 00:44:00" 12508.8
"2021-03-15 00:45:00" 12513.6
"2021-03-15 00:46:00" 12515.4
"2021-03-15 00:47:00" 12515.4
"2021-03-15 00:48:00" 12510.5
"2021-03-15 00:49:00" 12509.1
"2021-03-15 00:50:00" 12509.4
"2021-03-15 00:51:00" 12509.8
"2021-03-15 00:52:00" 12507.6
"2021-03-15 00:53:00" 12504.5
"2021-03-15 00:54:00" 12503.0
"2021-03-15 00:55:00" 12502.7
"2021-03-15 00:56:00" 12500.5
"2021-03-15 00:57:00" 12496.7
"2021-03-15 00:58:00" 12492.4
"2021-03-15 00:59:00" 12486.3
"2021-03-15 01:00:00" 12482.2
"2021-03-15 01:01:00" 12482.6
"2021-03-15 01:02:00" 12482.6
"2021-03-15 01:03:00" 12483.2
"2021-03-15 01:04:00" 12483.2
"2021-03-15 01:05:00" 12486.3
"2021-03-15 01:06:00" 12487.7
"2021-03-15 01:07:00" 12488.0
"2021-03-15 01:08:00" 12491.3
"2021-03-15 01:09:00" 12493.3
"2021-03-15 01:10:00" 12494.3
"2021-03-15 01:11:00" 12493.4
"2021-03-15 01:12:00" 12497.1
"2021-03-15 01:13:00" 12501.6
"2021-03-15 01:14:00" 12503.4
"2021-03-15 01:15:00" 12502.5
"2021-03-15 01:16:00" 12502.1
"2021-03-15 01:17:00" 12498.0
"2021-03-15 01:18:00" 12497.1
"2021-03-15 01:19:00" 12497.7
"2021-03-15 01:20:00" 12495.0
"2021-03-15 01:21:00" 12495.8
"2021-03-15 01:22:00" 12500.7
"2021-03-15 01:23:00" 12505.2
"2021-03-15 01:24:00" 12511.6
"2021-03-15 01:25:00" 12515.8
"2021-03-15 01:26:00" 12515.9
"2021-03-15 01:27:00" 12518.2
"2021-03-15 01:28:00" 12519.1
"2021-03-15 01:29:00" 12519.2
"2021-03-15 01:30:00" 12516.7
"2021-03-15 01:31:00" 12516.0
"2021-03-15 01:32:00" 12519.0
"2021-03-15 01:33:00" 12523.1
"2021-03-15 01:34:00" 12524.6
"2021-03-15 01:35:00" 12525.8
"2021-03-15 01:36:00" 12525.5
"2021-03-15 01:37:00" 12522.4
"2021-03-15 01:38:00" 12522.2
"2021-03-15 01:39:00" 12523.0
"2021-03-15 01:40:00" 12523.0
"2021-03-15 01:41:00" 12519.4
"2021-03-15 01:42:00" 12515.5
"2021-03-15 01:43:00" 12516.3
"2021-03-15 01:44:00" 12517.5
"2021-03-15 01:45:00" 12520.1
"2021-03-15 01:46:00" 12520.7
"2021-03-15 01:47:00" 12521.4
"2021-03-15 01:48:00" 12522.0
"2021-03-15 01:49:00" 12525.0
"2021-03-15 01:50:00" 12524.4
"2021-03-15 01:51:00" 12522.6
"2021-03-15 01:52:00" 12519.8
"2021-03-15 01:53:00" 12519.6
"2021-03-15 01:54:00" 12515.2
"2021-03-15 01:55:00" 12509.8
"2021-03-15 01:56:00" 12506.0
"2021-03-15 01:57:00" 12505.4
"2021-03-15 01:58:00" 12506.9
"2021-03-15 01:59:00" 12504.2
"2021-03-15 02:00:00" 12502.3
"2021-03-15 02:01:00" 12503.1
"2021-03-15 02:02:00" 12504.2
"2021-03-15 02:03:00" 12506.0
"2021-03-15 02:04:00" 12513.8
"2021-03-15 02:05:00" 12521.7
"2021-03-15 02:06:00" 12524.0
"2021-03-15 02:07:00" 12521.0
"2021-03-15 02:08:00" 12514.2
"2021-03-15 02:09:00" 12515.4
"2021-03-15 02:10:00" 12520.7
